Question,Expected Answer,Actual Answer ,Accuracy,Speed,Screenshot
What is the maximum policy limit for coverage under this plan?,"The maximum policy limit per member is £1,500,000, $2,400,000, or €1,900,000, depending on the currency selected by the member .","The overall annual limit for coverage under Plan 1 is up to RM9,000,000, Plan 2 is RM7,000,000, Plan 3 is RM3,000,000, and Plan 4 (In-patient plan) is also RM3,000,000. Please refer to the policy wordings for full terms and conditions.",1,2.4,
Can I receive emergency medical treatment in the USA if I don't have USA cover included in my policy?,"Yes, you are covered for emergency treatment in the USA up to a limit of £15,000, $24,000, or €19,125 for a period of up to six weeks, provided that you do not have USA cover added to your policy .","Your policy will cover in-patient or day-patient treatment needed for an emergency medical condition that you suffer suddenly while you are in the USA, even if you do not have USA cover included in your policy. However, it will not cover costs for arranging treatment or if you have traveled to the USA to get treatment. For specific details, please refer to your policy document.",1,2.8,
Are there any provisions for cancer treatment within the plan?,"Yes, the plan covers cancer treatment, including radiotherapy, chemotherapy, and surgery necessary to relieve pain or symptoms. However, end-of-life care is not covered under the plan .","Your policy covers cancer treatment. It includes coverage for treatment to kill cancer cells, monitoring, stem cell or bone marrow treatment, palliative care, end-of-life care, follow-up consultations, vaccinations to prevent cervical cancer, and drug treatment like biological therapies and chemotherapy. There are no specific money limits on cancer treatment under your policy.",1,2.7,
What is the overall annual limit for Plan 1 under the International Exclusive policy?,"The overall annual limit for Plan 1 is up to RM9,000,000 .","The overall annual limit for Plan 1 under the International Exclusive policy is up to RM9,000,000.",1,2.3,
"Is psychiatric treatment covered under the International Exclusive plans, and if so, what are the limits?","Yes, psychiatric treatment is covered with a limit up to RM24,000 under the first two plans, but there is no coverage under Plan 4 .","Yes, psychiatric treatment is covered under the International Exclusive plans. The overall annual limit for Plan 1 is up to RM9,000,000. If you need further details or have more questions, feel free to ask.",1,3.2,
What benefits are provided for pregnancy and delivery under the International Exclusive plans?,"Pregnancy and delivery are covered up to RM43,000 under Plan 1, but only after 12 months of consecutive membership. No benefits are provided under the other plans for pregnancy and delivery .","Yes, pregnancy and delivery are covered under the International Exclusive plans. The coverage amount for pregnancy and delivery is up to RM43,000, and it is available only after 12 months of membership. If you need more information or have any other questions, please let me know.",1,1.8,
What are the main benefits included in the International Private Medical Insurance?,"The International Private Medical Insurance offers various benefits including in-patient and day-patient treatments, surgical outpatient treatments, cancer treatment, access to healthcare experts, and emergency evacuation and repatriation. Customers can also choose from additional options like specialist consultations, outpatient therapies, mental health treatments, and covers for pregnancy, dental, optical, and travel insurance .","The International Private Medical Insurance offers comprehensive coverage including in-patient and day patient treatment, surgical out-patient treatment, cancer treatment, access to healthcare experts, and emergency evacuation and repatriation.",1,2.6,
Who is eligible to purchase the International Private Medical Insurance?,"The insurance is designed for individuals aged 18 to 80, including expatriates who live outside their home country and high-net-worth individuals who may need access to medical treatment worldwide. It is suitable for those who have the financial resources to invest in international private healthcare and are interested in flexible medical treatment options either locally, internationally, or in their home country .","The International Private Medical Insurance is designed for individuals seeking international private healthcare cover to meet their health and wellbeing needs, goals, and budget. It would appeal to those who have an interest in investing in their health and wellbeing, accessing medical treatment worldwide, desiring private medical treatment, and having the financial resources to pay for international private healthcare.",1,2.8,
"If I drink alchohol while pregnant am I still covered under plan 2?","No, there is no coverage for alcohol consumption during pregnancy under Plan 2. However, medical conditions related to pregnancy and childbirth are covered up to the limits that apply in the rest of the policy.
","Our plans provide cover for unexpected medical complications that occur during pregnancy. It's important to note that alcohol consumption during pregnancy may have negative effects on the health of the baby. We recommend consulting with a healthcare provider for personalized advice. If you have any further questions about our policies, feel free to ask.",1,2.4,
"Can I purchase this insurance without receiving advice, and how can I buy it?","Yes, you can purchase International Private Medical Insurance without receiving advice, in compliance with FCA regulations. It is available for purchase directly from AXA – Global Healthcare or through a private health insurance specialist intermediary. You can buy the insurance via telephone, face-to-face, or through an appropriately designed online journey .",This product can be sold with or without advice depending on your preference and in line with FCA regulations. It can be sold face to face or via telephone. You can contact us or your insurance agent for more information on purchasing the International Private Medical Insurance.,1,1.7,
